class,filename,height,width,xmax,xmin,ymax,ymin
shoulder2,04_00023.jpg,76,76,199,173,118,92
head,04_00024.jpg,60,60,167,107,142,82
shoulder1,04_00024.jpg,76,76,116,90,110,84
shoulder2,04_00024.jpg,76,76,199,173,117,91
head,04_00025.jpg,60,60,167,107,141,81
shoulder1,04_00025.jpg,76,76,116,90,110,84
shoulder2,04_00025.jpg,76,76,199,173,117,91
head,04_00026.jpg,60,60,168,108,138,78
shoulder1,04_00026.jpg,76,76,116,90,108,82
shoulder2,04_00026.jpg,76,76,199,173,116,90
head,04_00027.jpg,60,60,168,108,139,79
shoulder1,04_00027.jpg,76,76,116,90,108,82
shoulder2,04_00027.jpg,76,76,200,174,116,90
head,04_00028.jpg,60,60,168,108,137,77
shoulder1,04_00028.jpg,76,76,116,90,107,81
shoulder2,04_00028.jpg,76,76,200,174,115,89
head,04_00029.jpg,60,60,168,108,136,76
shoulder1,04_00029.jpg,76,76,116,90,106,80
shoulder2,04_00029.jpg,76,76,199,173,114,88
head,04_00030.jpg,60,60,168,108,135,75
shoulder1,04_00030.jpg,76,76,116,90,106,80
shoulder2,04_00030.jpg,76,76,199,173,114,88
head,04_00031.jpg,60,60,168,108,135,75
shoulder1,04_00031.jpg,76,76,116,90,106,80
shoulder2,04_00031.jpg,76,76,199,173,113,87
head,04_00032.jpg,60,60,167,107,135,75
shoulder1,04_00032.jpg,76,76,116,90,105,79
shoulder2,04_00032.jpg,76,76,199,173,113,87
head,04_00033.jpg,60,60,167,107,134,74
shoulder1,04_00033.jpg,76,76,116,90,105,79
shoulder2,04_00033.jpg,76,76,199,173,112,86
head,04_00034.jpg,60,60,168,108,134,74
shoulder1,04_00034.jpg,76,76,116,90,105,79
shoulder2,04_00034.jpg,76,76,199,173,111,85
head,04_00035.jpg,60,60,168,108,135,75
shoulder1,04_00035.jpg,76,76,116,90,106,80
shoulder2,04_00035.jpg,76,76,199,173,110,84
head,04_00036.jpg,60,60,168,108,135,75
shoulder1,04_00036.jpg,76,76,116,90,105,79
shoulder2,04_00036.jpg,76,76,200,174,110,84
head,04_00037.jpg,60,60,169,109,134,74
shoulder1,04_00037.jpg,76,76,117,91,104,78
shoulder2,04_00037.jpg,76,76,200,174,112,86
head,04_00038.jpg,60,60,169,109,135,75
shoulder1,04_00038.jpg,76,76,116,90,103,77
shoulder2,04_00038.jpg,76,76,200,174,113,87
head,04_00039.jpg,60,60,169,109,135,75
shoulder1,04_00039.jpg,76,76,117,91,103,77
shoulder2,04_00039.jpg,76,76,200,174,112,86
head,04_00040.jpg,60,60,170,110,132,72
shoulder1,04_00040.jpg,76,76,117,91,102,76
shoulder2,04_00040.jpg,76,76,200,174,111,85
head,04_00041.jpg,60,60,170,110,133,73
shoulder1,04_00041.jpg,76,76,117,91,103,77
shoulder2,04_00041.jpg,76,76,200,174,112,86
head,04_00042.jpg,60,60,170,110,134,74
shoulder1,04_00042.jpg,76,76,117,91,104,78
shoulder2,04_00042.jpg,76,76,200,174,111,85
head,04_00043.jpg,60,60,171,111,134,74
shoulder1,04_00043.jpg,76,76,119,93,105,79
shoulder2,04_00043.jpg,76,76,201,175,111,85
head,04_00044.jpg,60,60,170,110,134,74
shoulder1,04_00044.jpg,76,76,118,92,104,78
shoulder2,04_00044.jpg,76,76,201,175,112,86
head,04_00045.jpg,60,60,169,109,135,75
shoulder1,04_00045.jpg,76,76,117,91,105,79
shoulder2,04_00045.jpg,76,76,201,175,111,85
head,04_00046.jpg,60,60,171,111,134,74
shoulder1,04_00046.jpg,76,76,118,92,106,80
shoulder2,04_00046.jpg,76,76,202,176,109,83
head,04_00047.jpg,60,60,171,111,135,75
shoulder1,04_00047.jpg,76,76,119,93,107,81
shoulder2,04_00047.jpg,76,76,202,176,108,82
head,04_00048.jpg,60,60,170,110,135,75
shoulder1,04_00048.jpg,76,76,118,92,107,81
shoulder2,04_00048.jpg,76,76,202,176,109,83
head,04_00049.jpg,60,60,170,110,135,75
shoulder1,04_00049.jpg,76,76,118,92,107,81
shoulder2,04_00049.jpg,76,76,201,175,110,84
head,04_00050.jpg,60,60,169,109,135,75
shoulder1,04_00050.jpg,76,76,117,91,106,80
shoulder2,04_00050.jpg,76,76,201,175,111,85
head,04_00051.jpg,60,60,169,109,135,75
shoulder1,04_00051.jpg,76,76,117,91,104,78
shoulder2,04_00051.jpg,76,76,200,174,112,86
head,04_00052.jpg,60,60,170,110,134,74
shoulder1,04_00052.jpg,76,76,117,91,104,78
shoulder2,04_00052.jpg,76,76,200,174,113,87
head,04_00053.jpg,60,60,170,110,134,74
shoulder1,04_00053.jpg,76,76,117,91,105,79
shoulder2,04_00053.jpg,76,76,200,174,112,86
head,04_00054.jpg,60,60,170,110,134,74
shoulder1,04_00054.jpg,76,76,117,91,105,79
shoulder2,04_00054.jpg,76,76,200,174,112,86
head,04_00055.jpg,60,60,170,110,134,74
shoulder1,04_00055.jpg,76,76,117,91,104,78
shoulder2,04_00055.jpg,76,76,200,174,113,87
head,04_00056.jpg,60,60,170,110,135,75
shoulder1,04_00056.jpg,76,76,117,91,104,78
shoulder2,04_00056.jpg,76,76,201,175,113,87
head,04_00057.jpg,60,60,169,109,135,75
shoulder1,04_00057.jpg,76,76,117,91,105,79
shoulder2,04_00057.jpg,76,76,200,174,113,87
head,04_00058.jpg,60,60,169,109,135,75
shoulder1,04_00058.jpg,76,76,117,91,105,79
shoulder2,04_00058.jpg,76,76,200,174,113,87
head,04_00059.jpg,60,60,169,109,135,75
shoulder1,04_00059.jpg,76,76,117,91,105,79
shoulder2,04_00059.jpg,76,76,200,174,112,86
head,04_00060.jpg,60,60,169,109,134,74
shoulder1,04_00060.jpg,76,76,117,91,105,79
shoulder2,04_00060.jpg,76,76,200,174,112,86
head,04_00061.jpg,60,60,170,110,134,74
shoulder1,04_00061.jpg,76,76,117,91,105,79
shoulder2,04_00061.jpg,76,76,200,174,112,86
head,04_00062.jpg,60,60,169,109,134,74
shoulder1,04_00062.jpg,76,76,117,91,105,79
shoulder2,04_00062.jpg,76,76,200,174,112,86
head,04_00063.jpg,60,60,169,109,135,75
shoulder1,04_00063.jpg,76,76,116,90,105,79
shoulder2,04_00063.jpg,76,76,200,174,111,85
head,04_00064.jpg,60,60,169,109,135,75
shoulder1,04_00064.jpg,76,76,117,91,106,80
shoulder2,04_00064.jpg,76,76,201,175,110,84
head,04_00065.jpg,60,60,170,110,135,75
shoulder1,04_00065.jpg,76,76,117,91,107,81
shoulder2,04_00065.jpg,76,76,201,175,110,84
head,04_00066.jpg,60,60,170,110,134,74
shoulder1,04_00066.jpg,76,76,117,91,107,81
shoulder2,04_00066.jpg,76,76,201,175,109,83
head,04_00067.jpg,60,60,170,110,135,75
shoulder1,04_00067.jpg,76,76,117,91,106,80
shoulder2,04_00067.jpg,76,76,202,176,109,83
head,04_00068.jpg,60,60,171,111,135,75
shoulder1,04_00068.jpg,76,76,118,92,107,81
shoulder2,04_00068.jpg,76,76,202,176,110,84
head,04_00069.jpg,60,60,171,111,135,75
shoulder1,04_00069.jpg,76,76,118,92,107,81
shoulder2,04_00069.jpg,76,76,202,176,110,84
head,04_00070.jpg,60,60,171,111,134,74
shoulder1,04_00070.jpg,76,76,118,92,107,81
shoulder2,04_00070.jpg,76,76,202,176,109,83
head,04_00071.jpg,60,60,171,111,134,74
shoulder1,04_00071.jpg,76,76,118,92,106,80
shoulder2,04_00071.jpg,76,76,201,175,110,84
head,04_00072.jpg,60,60,171,111,135,75
shoulder1,04_00072.jpg,76,76,118,92,106,80
shoulder2,04_00072.jpg,76,76,202,176,110,84
head,04_00073.jpg,60,60,171,111,135,75
shoulder1,04_00073.jpg,76,76,118,92,105,79
shoulder2,04_00073.jpg,76,76,201,175,110,84
head,04_00074.jpg,60,60,171,111,135,75
shoulder1,04_00074.jpg,76,76,117,91,106,80
shoulder2,04_00074.jpg,76,76,201,175,110,84
head,04_00075.jpg,60,60,171,111,134,74
shoulder1,04_00075.jpg,76,76,118,92,106,80
shoulder2,04_00075.jpg,76,76,201,175,110,84
head,04_00076.jpg,60,60,170,110,135,75
shoulder1,04_00076.jpg,76,76,117,91,106,80
shoulder2,04_00076.jpg,76,76,201,175,110,84
head,04_00077.jpg,60,60,170,110,135,75
shoulder1,04_00077.jpg,76,76,117,91,106,80
shoulder2,04_00077.jpg,76,76,201,175,110,84
head,04_00078.jpg,60,60,171,111,135,75
shoulder1,04_00078.jpg,76,76,117,91,106,80
shoulder2,04_00078.jpg,76,76,201,175,110,84
head,04_00079.jpg,60,60,171,111,134,74
shoulder1,04_00079.jpg,76,76,118,92,107,81
shoulder2,04_00079.jpg,76,76,202,176,109,83
head,04_00080.jpg,60,60,170,110,134,74
shoulder1,04_00080.jpg,76,76,117,91,106,80
shoulder2,04_00080.jpg,76,76,201,175,110,84
head,04_00081.jpg,60,60,171,111,134,74
shoulder1,04_00081.jpg,76,76,118,92,107,81
shoulder2,04_00081.jpg,76,76,201,175,110,84
head,04_00082.jpg,60,60,170,110,132,72
shoulder1,04_00082.jpg,76,76,117,91,106,80
shoulder2,04_00082.jpg,76,76,201,175,108,82
head,04_00083.jpg,60,60,170,110,133,73
shoulder1,04_00083.jpg,76,76,117,91,106,80
shoulder2,04_00083.jpg,76,76,201,175,109,83
head,04_00084.jpg,60,60,170,110,134,74
shoulder1,04_00084.jpg,76,76,117,91,107,81
shoulder2,04_00084.jpg,76,76,201,175,110,84
head,04_00085.jpg,60,60,169,109,134,74
shoulder1,04_00085.jpg,76,76,117,91,106,80
shoulder2,04_00085.jpg,76,76,201,175,110,84
head,04_00086.jpg,60,60,169,109,131,71
shoulder1,04_00086.jpg,76,76,116,90,103,77
shoulder2,04_00086.jpg,76,76,200,174,110,84
head,04_00087.jpg,60,60,170,110,130,70
shoulder1,04_00087.jpg,76,76,117,91,103,77
shoulder2,04_00087.jpg,76,76,200,174,110,84
head,04_00088.jpg,60,60,170,110,129,69
shoulder1,04_00088.jpg,76,76,117,91,103,77
shoulder2,04_00088.jpg,76,76,200,174,110,84
head,04_00089.jpg,60,60,170,110,129,69
shoulder1,04_00089.jpg,76,76,116,90,102,76
shoulder2,04_00089.jpg,76,76,200,174,110,84
head,04_00090.jpg,60,60,170,110,132,72
shoulder1,04_00090.jpg,76,76,116,90,102,76
shoulder2,04_00090.jpg,76,76,200,174,111,85
head,04_00091.jpg,60,60,170,110,130,70
shoulder1,04_00091.jpg,76,76,116,90,101,75
shoulder2,04_00091.jpg,76,76,200,174,111,85
head,04_00092.jpg,60,60,170,110,129,69
shoulder1,04_00092.jpg,76,76,117,91,102,76
shoulder2,04_00092.jpg,76,76,201,175,110,84
head,04_00093.jpg,60,60,170,110,129,69
shoulder1,04_00093.jpg,76,76,117,91,103,77
shoulder2,04_00093.jpg,76,76,201,175,108,82
head,04_00094.jpg,60,60,171,111,128,68
shoulder1,04_00094.jpg,76,76,118,92,103,77
shoulder2,04_00094.jpg,76,76,202,176,108,82
head,04_00095.jpg,60,60,172,112,128,68
shoulder1,04_00095.jpg,76,76,118,92,103,77
shoulder2,04_00095.jpg,76,76,202,176,108,82
head,04_00096.jpg,60,60,172,112,129,69
shoulder1,04_00096.jpg,76,76,118,92,103,77
shoulder2,04_00096.jpg,76,76,202,176,108,82
head,04_00097.jpg,60,60,173,113,129,69
shoulder1,04_00097.jpg,76,76,119,93,103,77
shoulder2,04_00097.jpg,76,76,203,177,109,83
head,04_00098.jpg,60,60,172,112,128,68
shoulder1,04_00098.jpg,76,76,118,92,103,77
shoulder2,04_00098.jpg,76,76,202,176,108,82
head,04_00099.jpg,60,60,173,113,128,68
shoulder1,04_00099.jpg,76,76,118,92,103,77
shoulder2,04_00099.jpg,76,76,203,177,108,82
head,04_00100.jpg,60,60,174,114,129,69
shoulder1,04_00100.jpg,76,76,119,93,103,77
shoulder2,04_00100.jpg,76,76,203,177,108,82
head,04_00101.jpg,60,60,175,115,132,72
shoulder1,04_00101.jpg,76,76,119,93,104,78
shoulder2,04_00101.jpg,76,76,204,178,109,83
head,04_00102.jpg,60,60,175,115,133,73
shoulder1,04_00102.jpg,76,76,120,94,105,79
shoulder2,04_00102.jpg,76,76,204,178,109,83
head,04_00103.jpg,60,60,176,116,135,75
shoulder1,04_00103.jpg,76,76,120,94,105,79
shoulder2,04_00103.jpg,76,76,204,178,109,83
head,04_00104.jpg,60,60,176,116,135,75
shoulder1,04_00104.jpg,76,76,119,93,105,79
shoulder2,04_00104.jpg,76,76,204,178,109,83
head,04_00105.jpg,60,60,175,115,132,72
shoulder1,04_00105.jpg,76,76,119,93,105,79
shoulder2,04_00105.jpg,76,76,204,178,108,82
head,04_00106.jpg,60,60,175,115,133,73
shoulder1,04_00106.jpg,76,76,119,93,105,79
shoulder2,04_00106.jpg,76,76,203,177,108,82
head,04_00107.jpg,60,60,174,114,134,74
shoulder1,04_00107.jpg,76,76,118,92,106,80
shoulder2,04_00107.jpg,76,76,203,177,108,82
head,04_00108.jpg,60,60,174,114,134,74
shoulder1,04_00108.jpg,76,76,119,93,106,80
shoulder2,04_00108.jpg,76,76,203,177,108,82
head,04_00109.jpg,60,60,174,114,135,75
shoulder1,04_00109.jpg,76,76,119,93,106,80
shoulder2,04_00109.jpg,76,76,203,177,108,82
head,04_00110.jpg,60,60,173,113,132,72
shoulder1,04_00110.jpg,76,76,119,93,105,79
shoulder2,04_00110.jpg,76,76,203,177,107,81
head,04_00111.jpg,60,60,174,114,130,70
shoulder1,04_00111.jpg,76,76,120,94,105,79
shoulder2,04_00111.jpg,76,76,204,178,107,81
head,04_00112.jpg,60,60,174,114,129,69
shoulder1,04_00112.jpg,76,76,120,94,105,79
shoulder2,04_00112.jpg,76,76,204,178,106,80
head,04_00113.jpg,60,60,174,114,129,69
shoulder1,04_00113.jpg,76,76,120,94,104,78
shoulder2,04_00113.jpg,76,76,204,178,107,81
head,04_00114.jpg,60,60,174,114,129,69
shoulder1,04_00114.jpg,76,76,121,95,104,78
shoulder2,04_00114.jpg,76,76,204,178,107,81
head,04_00115.jpg,60,60,173,113,129,69
shoulder1,04_00115.jpg,76,76,120,94,103,77
shoulder2,04_00115.jpg,76,76,204,178,107,81
head,04_00116.jpg,60,60,173,113,129,69
shoulder1,04_00116.jpg,76,76,120,94,104,78
shoulder2,04_00116.jpg,76,76,204,178,106,80
head,04_00122.jpg,60,60,176,116,132,72
shoulder1,04_00122.jpg,76,76,121,95,104,78
shoulder2,04_00122.jpg,76,76,205,179,107,81
head,04_00123.jpg,60,60,176,116,130,70
shoulder1,04_00123.jpg,76,76,121,95,104,78
shoulder2,04_00123.jpg,76,76,205,179,107,81
head,04_00124.jpg,60,60,175,115,129,69
shoulder1,04_00124.jpg,76,76,120,94,103,77
shoulder2,04_00124.jpg,76,76,205,179,107,81
head,04_00125.jpg,60,60,174,114,129,69
shoulder1,04_00125.jpg,76,76,120,94,102,76
shoulder2,04_00125.jpg,76,76,204,178,108,82
head,04_00126.jpg,60,60,175,115,129,69
shoulder1,04_00126.jpg,76,76,120,94,102,76
shoulder2,04_00126.jpg,76,76,204,178,107,81
head,04_00127.jpg,60,60,175,115,129,69
shoulder1,04_00127.jpg,76,76,121,95,103,77
shoulder2,04_00127.jpg,76,76,205,179,107,81
head,04_00128.jpg,60,60,176,116,129,69
shoulder1,04_00128.jpg,76,76,121,95,103,77
shoulder2,04_00128.jpg,76,76,206,180,107,81
head,04_00129.jpg,60,60,176,116,131,71
shoulder1,04_00129.jpg,76,76,121,95,103,77
shoulder2,04_00129.jpg,76,76,205,179,108,82
head,04_00130.jpg,60,60,176,116,133,73
shoulder1,04_00130.jpg,76,76,121,95,104,78
shoulder2,04_00130.jpg,76,76,205,179,108,82
head,04_00131.jpg,60,60,176,116,134,74
shoulder1,04_00131.jpg,76,76,122,96,104,78
shoulder2,04_00131.jpg,76,76,206,180,109,83
head,04_00132.jpg,60,60,177,117,131,71
shoulder1,04_00132.jpg,76,76,122,96,104,78
shoulder2,04_00132.jpg,76,76,206,180,107,81
head,04_00133.jpg,60,60,176,116,130,70
shoulder1,04_00133.jpg,76,76,121,95,104,78
shoulder2,04_00133.jpg,76,76,205,179,107,81
head,04_00134.jpg,60,60,176,116,129,69
shoulder1,04_00134.jpg,76,76,120,94,104,78
shoulder2,04_00134.jpg,76,76,205,179,107,81
head,04_00135.jpg,60,60,176,116,131,71
shoulder1,04_00135.jpg,76,76,120,94,104,78
shoulder2,04_00135.jpg,76,76,205,179,108,82
head,04_00136.jpg,60,60,175,115,130,70
shoulder1,04_00136.jpg,76,76,120,94,104,78
shoulder2,04_00136.jpg,76,76,205,179,108,82
head,04_00137.jpg,60,60,175,115,129,69
shoulder1,04_00137.jpg,76,76,120,94,102,76
shoulder2,04_00137.jpg,76,76,205,179,108,82
head,04_00138.jpg,60,60,174,114,128,68
shoulder1,04_00138.jpg,76,76,120,94,102,76
shoulder2,04_00138.jpg,76,76,204,178,108,82
head,04_00139.jpg,60,60,172,112,127,67
shoulder1,04_00139.jpg,76,76,120,94,100,74
shoulder2,04_00139.jpg,76,76,204,178,107,81
head,04_00140.jpg,60,60,172,112,128,68
shoulder1,04_00140.jpg,76,76,120,94,101,75
shoulder2,04_00140.jpg,76,76,204,178,107,81
head,04_00141.jpg,60,60,174,114,128,68
shoulder1,04_00141.jpg,76,76,121,95,103,77
shoulder2,04_00141.jpg,76,76,205,179,105,79
head,04_00142.jpg,60,60,174,114,129,69
shoulder1,04_00142.jpg,76,76,121,95,103,77
shoulder2,04_00142.jpg,76,76,205,179,105,79
head,04_00143.jpg,60,60,173,113,128,68
shoulder1,04_00143.jpg,76,76,120,94,103,77
shoulder2,04_00143.jpg,76,76,204,178,105,79
head,04_00188.jpg,60,60,169,109,129,69
shoulder1,04_00188.jpg,76,76,116,90,102,76
shoulder2,04_00188.jpg,76,76,201,175,107,81
head,04_00189.jpg,60,60,165,105,129,69
shoulder1,04_00189.jpg,76,76,114,88,101,75
shoulder2,04_00189.jpg,76,76,198,172,108,82
head,04_00190.jpg,60,60,165,105,128,68
shoulder1,04_00190.jpg,76,76,114,88,101,75
shoulder2,04_00190.jpg,76,76,197,171,109,83
head,04_00191.jpg,60,60,164,104,129,69
shoulder1,04_00191.jpg,76,76,113,87,101,75
shoulder2,04_00191.jpg,76,76,196,170,109,83
head,04_00192.jpg,60,60,163,103,129,69
shoulder1,04_00192.jpg,76,76,113,87,101,75
shoulder2,04_00192.jpg,76,76,196,170,109,83
head,04_00193.jpg,60,60,164,104,129,69
shoulder1,04_00193.jpg,76,76,113,87,101,75
shoulder2,04_00193.jpg,76,76,197,171,108,82
head,04_00194.jpg,60,60,164,104,132,72
shoulder1,04_00194.jpg,76,76,113,87,101,75
shoulder2,04_00194.jpg,76,76,197,171,110,84
head,04_00195.jpg,60,60,164,104,130,70
shoulder1,04_00195.jpg,76,76,114,88,102,76
shoulder2,04_00195.jpg,76,76,197,171,109,83
head,04_00196.jpg,60,60,164,104,129,69
shoulder1,04_00196.jpg,76,76,114,88,101,75
shoulder2,04_00196.jpg,76,76,197,171,108,82
head,04_00197.jpg,60,60,165,105,129,69
shoulder1,04_00197.jpg,76,76,114,88,100,74
shoulder2,04_00197.jpg,76,76,197,171,109,83
head,04_00198.jpg,60,60,166,106,129,69
shoulder1,04_00198.jpg,76,76,114,88,100,74
shoulder2,04_00198.jpg,76,76,198,172,108,82
head,04_00199.jpg,60,60,165,105,129,69
shoulder1,04_00199.jpg,76,76,113,87,101,75
shoulder2,04_00199.jpg,76,76,197,171,108,82
head,04_00200.jpg,60,60,166,106,129,69
shoulder1,04_00200.jpg,76,76,113,87,101,75
shoulder2,04_00200.jpg,76,76,198,172,107,81
head,04_00201.jpg,60,60,168,108,129,69
shoulder1,04_00201.jpg,76,76,115,89,102,76
shoulder2,04_00201.jpg,76,76,199,173,106,80
head,04_00202.jpg,60,60,170,110,128,68
shoulder1,04_00202.jpg,76,76,116,90,101,75
shoulder2,04_00202.jpg,76,76,200,174,106,80
head,04_00203.jpg,60,60,171,111,129,69
shoulder1,04_00203.jpg,76,76,116,90,100,74
shoulder2,04_00203.jpg,76,76,201,175,107,81
head,04_00204.jpg,60,60,171,111,129,69
shoulder1,04_00204.jpg,76,76,116,90,98,72
shoulder2,04_00204.jpg,76,76,199,173,109,83
head,04_00205.jpg,60,60,171,111,128,68
shoulder1,04_00205.jpg,76,76,116,90,98,72
shoulder2,04_00205.jpg,76,76,199,173,110,84
head,04_00206.jpg,60,60,171,111,128,68
shoulder1,04_00206.jpg,76,76,115,89,98,72
shoulder2,04_00206.jpg,76,76,199,173,109,83
head,04_00208.jpg,60,60,171,111,128,68
shoulder1,04_00208.jpg,76,76,115,89,99,73
shoulder2,04_00208.jpg,76,76,200,174,107,81
head,04_00209.jpg,60,60,172,112,128,68
shoulder1,04_00209.jpg,76,76,116,90,100,74
shoulder2,04_00209.jpg,76,76,200,174,107,81
head,04_00210.jpg,60,60,173,113,129,69
shoulder1,04_00210.jpg,76,76,116,90,100,74
shoulder2,04_00210.jpg,76,76,201,175,107,81
head,04_00211.jpg,60,60,174,114,129,69
shoulder1,04_00211.jpg,76,76,117,91,102,76
shoulder2,04_00211.jpg,76,76,202,176,106,80
head,04_00212.jpg,60,60,175,115,129,69
shoulder1,04_00212.jpg,76,76,118,92,103,77
shoulder2,04_00212.jpg,76,76,203,177,105,79
head,04_00213.jpg,60,60,174,114,128,68
shoulder1,04_00213.jpg,76,76,118,92,103,77
shoulder2,04_00213.jpg,76,76,203,177,105,79
head,04_00214.jpg,60,60,175,115,132,72
shoulder1,04_00214.jpg,76,76,118,92,104,78
shoulder2,04_00214.jpg,76,76,203,177,106,80
head,04_00215.jpg,60,60,176,116,130,70
shoulder1,04_00215.jpg,76,76,118,92,103,77
shoulder2,04_00215.jpg,76,76,203,177,106,80
head,04_00216.jpg,60,60,177,117,129,69
shoulder1,04_00216.jpg,76,76,119,93,102,76
shoulder2,04_00216.jpg,76,76,204,178,106,80
head,04_00217.jpg,60,60,177,117,129,69
shoulder1,04_00217.jpg,76,76,120,94,101,75
shoulder2,04_00217.jpg,76,76,204,178,106,80
head,04_00218.jpg,60,60,178,118,128,68
shoulder1,04_00218.jpg,76,76,120,94,101,75
shoulder2,04_00218.jpg,76,76,205,179,106,80
head,04_00219.jpg,60,60,178,118,129,69
shoulder1,04_00219.jpg,76,76,120,94,101,75
shoulder2,04_00219.jpg,76,76,205,179,106,80
head,04_00220.jpg,60,60,179,119,125,65
shoulder1,04_00220.jpg,76,76,121,95,100,74
shoulder2,04_00220.jpg,76,76,206,180,105,79
head,04_00221.jpg,60,60,180,120,124,64
shoulder1,04_00221.jpg,76,76,121,95,100,74
shoulder2,04_00221.jpg,76,76,206,180,104,78
head,04_00222.jpg,60,60,180,120,120,60
shoulder1,04_00222.jpg,76,76,122,96,100,74
shoulder2,04_00222.jpg,76,76,207,181,102,76
head,04_00223.jpg,60,60,180,120,118,58
shoulder1,04_00223.jpg,76,76,122,96,100,74
shoulder2,04_00223.jpg,76,76,207,181,101,75
head,04_00224.jpg,60,60,180,120,120,60
shoulder1,04_00224.jpg,76,76,122,96,100,74
shoulder2,04_00224.jpg,76,76,207,181,102,76
head,04_00225.jpg,60,60,179,119,124,64
shoulder1,04_00225.jpg,76,76,121,95,101,75
shoulder2,04_00225.jpg,76,76,207,181,103,77
head,04_00226.jpg,60,60,179,119,127,67
shoulder1,04_00226.jpg,76,76,122,96,102,76
shoulder2,04_00226.jpg,76,76,207,181,104,78
head,04_00227.jpg,60,60,178,118,128,68
shoulder1,04_00227.jpg,76,76,122,96,103,77
shoulder2,04_00227.jpg,76,76,207,181,103,77
head,04_00228.jpg,60,60,179,119,128,68
shoulder1,04_00228.jpg,76,76,122,96,103,77
shoulder2,04_00228.jpg,76,76,206,180,103,77
head,04_00229.jpg,60,60,179,119,128,68
shoulder1,04_00229.jpg,76,76,122,96,103,77
shoulder2,04_00229.jpg,76,76,207,181,103,77
head,04_00230.jpg,60,60,179,119,128,68
shoulder1,04_00230.jpg,76,76,122,96,103,77
shoulder2,04_00230.jpg,76,76,207,181,103,77
